BioguideID	Courtesy	Title	FirstName	Middle/Nick	LastName	Suffix	Room/Bldg	City	State	Zip+4	State/District	Party
G000552	Mr.	The Honorable	Louie		Gohmert		2243 Rayburn House Office Building	Washington	DC	20515-4301	TX01	R
G000581	Mr.	The Honorable	Vicente		Gonzalez		113 Cannon House Office Building	Washington	DC	20515-4315	TX15	D
G000582	Miss	The Honorable	Jenniffer		González-Colón		1529 Longworth House Office Building	Washington	DC	20515-5401	PR00	R
G000289	Mr.	The Honorable	Bob		Goodlatte		2309 Rayburn House Office Building	Washington	DC	20515-4606	VA06	R
G000565	Mr.	The Honorable	Paul	A.	Gosar		2057 Rayburn House Office Building	Washington	DC	20515-0304	AZ04	R
G000583	Mr.	The Honorable	Josh		Gottheimer		213 Cannon House Office Building	Washington	DC	20515-3005	NJ05	D
G000566	Mr.	The Honorable	Trey		Gowdy		2418 Rayburn House Office Building	Washington	DC	20515-4004	SC04	R
G000377	Ms.	The Honorable	Kay		Granger		1026 Longworth House Office Building	Washington	DC	20515-4312	TX12	R
G000577	Mr.	The Honorable	Garret		Graves		430 Cannon House Office Building	Washington	DC	20515-1806	LA06	R
G000546	Mr.	The Honorable	Sam		Graves		1135 Longworth House Office Building	Washington	DC	20515-2506	MO06	R
G000560	Mr.	The Honorable	Tom		Graves		2078 Rayburn House Office Building	Washington	DC	20515-1014	GA14	R
G000553	Mr.	The Honorable	Al		Green		2347 Rayburn House Office Building	Washington	DC	20515-4309	TX09	D
G000410	Mr.	The Honorable	Gene		Green		2470 Rayburn House Office Building	Washington	DC	20515-4329	TX29	D
G000568	Mr.	The Honorable	H.	Morgan	Griffith		2202 Rayburn House Office Building	Washington	DC	20515-4609	VA09	R
G000551	Mr.	The Honorable	Raúl	M.	Grijalva		1511 Longworth House Office Building	Washington	DC	20515-0303	AZ03	D
G000576	Mr.	The Honorable	Glenn		Grothman		1217 Longworth House Office Building	Washington	DC	20515-4906	WI06	R
G000558	Mr.	The Honorable	Brett		Guthrie		2434 Rayburn House Office Building	Washington	DC	20515-1702	KY02	R
G000535	Mr.	The Honorable	Luis	V.	Gutiérrez		2408 Rayburn House Office Building	Washington	DC	20515-1304	IL04	D
H001050	Ms.	The Honorable	Colleen		Hanabusa		422 Cannon House Office Building	Washington	DC	20515-1101	HI01	D
H001045	Mr.	The Honorable	Gregg		Harper		2227 Rayburn House Office Building	Washington	DC	20515-2403	MS03	R
H001052	Mr.	The Honorable	Andy		Harris		1533 Longworth House Office Building	Washington	DC	20515-2001	MD01	R
H001053	Mrs.	The Honorable	Vicky		Hartzler		2235 Rayburn House Office Building	Washington	DC	20515-2504	MO04	R
H000324	Mr.	The Honorable	Alcee	L.	Hastings		2353 Rayburn House Office Building	Washington	DC	20515-0920	FL20	D
H001064	Mr.	The Honorable	Denny		Heck		425 Cannon House Office Building	Washington	DC	20515-4710	WA10	D
H001036	Mr.	The Honorable	Jeb		Hensarling		2228 Rayburn House Office Building	Washington	DC	20515-4305	TX05	R
H001056	Ms.	The Honorable	Jaime		Herrera Beutler		1107 Longworth House Office Building	Washington	DC	20515-4703	WA03	R
H001071	Mr.	The Honorable	Jody	B.	Hice		324 Cannon House Office Building	Washington	DC	20515-1010	GA10	R
H001038	Mr.	The Honorable	Brian		Higgins		2459 Rayburn House Office Building	Washington	DC	20515-3226	NY26	D
H001077	Mr.	The Honorable	Clay		Higgins		1711 Longworth House Office Building	Washington	DC	20515-1803	LA03	R
H001072	Mr.	The Honorable	J.	French	Hill		1229 Longworth House Office Building	Washington	DC	20515-0402	AR02	R
H001047	Mr.	The Honorable	James	A.	Himes		1227 Longworth House Office Building	Washington	DC	20515-0704	CT04	D
H001065	Mr.	The Honorable	George		Holding		1110 Longworth House Office Building	Washington	DC	20515-3302	NC02	R
H001074	Mr.	The Honorable	Trey		Hollingsworth		1641 Longworth House Office Building	Washington	DC	20515-1409	IN09	R
H000874	Mr.	The Honorable	Steny	H.	Hoyer		1705 Longworth House Office Building	Washington	DC	20515-2005	MD05	D
H001067	Mr.	The Honorable	Richard		Hudson		429 Cannon House Office Building	Washington	DC	20515-3308	NC08	R
H001068	Mr.	The Honorable	Jared		Huffman		1406 Longworth House Office Building	Washington	DC	20515-0502	CA02	D
H001058	Mr.	The Honorable	Bill		Huizenga		2232 Rayburn House Office Building	Washington	DC	20515-2202	MI02	R
H001059	Mr.	The Honorable	Randy		Hultgren		2455 Rayburn House Office Building	Washington	DC	20515-1314	IL14	R
H001048	Mr.	The Honorable	Duncan		Hunter		2429 Rayburn House Office Building	Washington	DC	20515-0550	CA50	R
H001073	Mr.	The Honorable	Will		Hurd		317 Cannon House Office Building	Washington	DC	20515-4323	TX23	R
I000056	Mr.	The Honorable	Darrell	E.	Issa		2269 Rayburn House Office Building	Washington	DC	20515-0549	CA49	R
J000032	Ms.	The Honorable	Sheila		Jackson Lee		2187 Rayburn House Office Building	Washington	DC	20515-4318	TX18	D
J000298	Ms.	The Honorable	Pramila		Jayapal		319 Cannon House Office Building	Washington	DC	20515-4707	WA07	D
J000294	Mr.	The Honorable	Hakeem	S.	Jeffries		1607 Longworth House Office Building	Washington	DC	20515-3208	NY08	D
J000297	Mr.	The Honorable	Evan	H.	Jenkins		1609 Longworth House Office Building	Washington	DC	20515-4803	WV03	R
J000290	Ms.	The Honorable	Lynn		Jenkins		1526 Longworth House Office Building	Washington	DC	20515-1602	KS02	R
J000292	Mr.	The Honorable	Bill		Johnson		1710 Longworth House Office Building	Washington	DC	20515-3506	OH06	R
J000126	Ms.	The Honorable	Eddie	Bernice	Johnson		2468 Rayburn House Office Building	Washington	DC	20515-4330	TX30	D
J000288	Mr.	The Honorable	Henry	"C. ""Hank"""	Johnson	Jr.	2240 Rayburn House Office Building	Washington	DC	20515-1004	GA04	D
J000299	Mr.	The Honorable	Mike		Johnson		327 Cannon House Office Building	Washington	DC	20515-1804	LA04	R
J000174	Mr.	The Honorable	Sam		Johnson		2304 Rayburn House Office Building	Washington	DC	20515-4303	TX03	R
J000255	Mr.	The Honorable	Walter	B.	Jones		2333 Rayburn House Office Building	Washington	DC	20515-3303	NC03	R
J000289	Mr.	The Honorable	Jim		Jordan		2056 Rayburn House Office Building	Washington	DC	20515-3504	OH04	R
J000295	Mr.	The Honorable	David	P.	Joyce		1124 Longworth House Office Building	Washington	DC	20515-3514	OH14	R
K000009	Ms.	The Honorable	Marcy		Kaptur		2186 Rayburn House Office Building	Washington	DC	20515-3509	OH09	D
K000386	Mr.	The Honorable	John		Katko		1620 Longworth House Office Building	Washington	DC	20515-3224	NY24	R
K000375	Mr.	The Honorable	William	R.	Keating		2351 Rayburn House Office Building	Washington	DC	20515-2109	MA09	D
K000376	Mr.	The Honorable	Mike		Kelly		1707 Longworth House Office Building	Washington	DC	20515-3803	PA03	R
K000385	Ms.	The Honorable	Robin	L.	Kelly		1239 Longworth House Office Building	Washington	DC	20515-1302	IL02	D
K000388	Mr.	The Honorable	Trent		Kelly		1721 Longworth House Office Building	Washington	DC	20515-2401	MS01	R
K000379	Mr.	The Honorable	Joseph	P.	Kennedy	III	434 Cannon House Office Building	Washington	DC	20515-2104	MA04	D
K000389	Mr.	The Honorable	Ro		Khanna		513 Cannon House Office Building	Washington	DC	20515-0517	CA17	D
K000390	Mr.	The Honorable	Ruben		Kihuen		313 Cannon House Office Building	Washington	DC	20515-2804	NV04	D
K000380	Mr.	The Honorable	Daniel	T.	Kildee		227 Cannon House Office Building	Washington	DC	20515-2205	MI05	D
K000381	Mr.	The Honorable	Derek		Kilmer		1520 Longworth House Office Building	Washington	DC	20515-4706	WA06	D
K000188	Mr.	The Honorable	Ron		Kind		1502 Longworth House Office Building	Washington	DC	20515-4903	WI03	D
K000210	Mr.	The Honorable	Peter	T.	King		339 Cannon House Office Building	Washington	DC	20515-3202	NY02	R
K000362	Mr.	The Honorable	Steve		King		2210 Rayburn House Office Building	Washington	DC	20515-1504	IA04	R
K000378	Mr.	The Honorable	Adam		Kinzinger		2245 Rayburn House Office Building	Washington	DC	20515-1316	IL16	R
K000387	Mr.	The Honorable	Stephen		Knight		1023 Longworth House Office Building	Washington	DC	20515-0525	CA25	R
K000391	Mr.	The Honorable	Raja		Krishnamoorthi		515 Cannon House Office Building	Washington	DC	20515-1308	IL08	D
K000382	Ms.	The Honorable	Ann	M.	Kuster		137 Cannon House Office Building	Washington	DC	20515-2902	NH02	D
K000392	Mr.	The Honorable	David		Kustoff		508 Cannon House Office Building	Washington	DC	20515-4208	TN08	R
L000573	Mr.	The Honorable	Raúl	R.	Labrador		1523 Longworth House Office Building	Washington	DC	20515-1201	ID01	R
L000585	Mr.	The Honorable	Darin		LaHood		1424 Longworth House Office Building	Washington	DC	20515-1318	IL18	R
L000578	Mr.	The Honorable	Doug		LaMalfa		322 Cannon House Office Building	Washington	DC	20515-0501	CA01	R
L000564	Mr.	The Honorable	Doug		Lamborn		2402 Rayburn House Office Building	Washington	DC	20515-0605	CO05	R
L000567	Mr.	The Honorable	Leonard		Lance		2352 Rayburn House Office Building	Washington	DC	20515-3007	NJ07	R
L000559	Mr.	The Honorable	James	R.	Langevin		2077 Rayburn House Office Building	Washington	DC	20515-3902	RI02	D
L000560	Mr.	The Honorable	Rick		Larsen		2113 Rayburn House Office Building	Washington	DC	20515-4702	WA02	D
L000557	Mr.	The Honorable	John	B.	Larson		1501 Longworth House Office Building	Washington	DC	20515-0701	CT01	D
L000566	Mr.	The Honorable	Robert	E.	Latta		2448 Rayburn House Office Building	Washington	DC	20515-3505	OH05	R
L000581	Mrs.	The Honorable	Brenda	L.	Lawrence		1213 Longworth House Office Building	Washington	DC	20515-2214	MI14	D
L000586	Mr.	The Honorable	Al		Lawson	Jr.	1337 Longworth House Office Building	Washington	DC	20515-0905	FL05	D
L000551	Ms.	The Honorable	Barbara		Lee		2267 Rayburn House Office Building	Washington	DC	20515-0513	CA13	D
L000263	Mr.	The Honorable	Sander	M.	Levin		1236 Longworth House Office Building	Washington	DC	20515-2209	MI09	D
L000587	Mr.	The Honorable	Jason		Lewis		418 Cannon House Office Building	Washington	DC	20515-2302	MN02	R
L000287	Mr.	The Honorable	John		Lewis		343 Cannon House Office Building	Washington	DC	20515-1005	GA05	D
L000582	Mr.	The Honorable	Ted		Lieu		236 Cannon House Office Building	Washington	DC	20515-0533	CA33	D
L000563	Mr.	The Honorable	Daniel		Lipinski		2346 Rayburn House Office Building	Washington	DC	20515-1303	IL03	D
